# ObjectID,StreamID,Long,Lat,Elevation
1.000000000000000000e+00,1.000000000000000000e+00,-7.908470753395999964e+01,3.793143173291406356e+01,6.940000000000000000e+02
2.000000000000000000e+00,1.000000000000000000e+00,-7.908456864507047612e+01,3.793101506624560670e+01,7.010000000000000000e+02
3.000000000000000000e+00,1.000000000000000000e+00,-7.908373531173344873e+01,3.792990395512958912e+01,7.160000000000000000e+02
4.000000000000000000e+00,2.000000000000000000e+00,-7.908373531173344873e+01,3.792990395512958912e+01,7.160000000000000000e+02
5.000000000000000000e+00,3.000000000000000000e+00,-7.908373531173344873e+01,3.792990395512958912e+01,7.160000000000000000e+02
6.000000000000000000e+00,7.000000000000000000e+00,-7.908373531173344873e+01,3.792990395512958912e+01,7.160000000000000000e+02
7.000000000000000000e+00,2.000000000000000000e+00,-7.908382790432642651e+01,3.792981136253661134e+01,7.180000000000000000e+02
8.000000000000000000e+00,2.000000000000000000e+00,-7.908382790432642651e+01,3.792944099216452969e+01,7.330000000000000000e+02
9.000000000000000000e+00,7.000000000000000000e+00,-7.908290197839647817e+01,3.792944099216452969e+01,7.300000000000000000e+02
1.000000000000000000e+01,7.000000000000000000e+00,-7.908271679321035208e+01,3.792944099216452969e+01,7.350000000000000000e+02
1.100000000000000000e+01,7.000000000000000000e+00,-7.908206864505945077e+01,3.792907062179267541e+01,7.420000000000000000e+02
1.200000000000000000e+01,2.000000000000000000e+00,-7.908415197840190558e+01,3.792902432549607283e+01,7.570000000000000000e+02
1.300000000000000000e+01,7.000000000000000000e+00,-7.908169827468748281e+01,3.792897802919969763e+01,7.470000000000000000e+02
1.400000000000000000e+01,7.000000000000000000e+00,-7.908154577418844156e+01,3.792886365382548775e+01,7.520000000000000000e+02
1.500000000000000000e+01,6.000000000000000000e+00,-7.909114271917343331e+01,3.792868957903124283e+01,6.950000000000000000e+02
1.600000000000000000e+01,6.000000000000000000e+00,-7.909114271917343331e+01,3.792851506623469504e+01,6.990000000000000000e+02
1.800000000000000000e+01,6.000000000000000000e+00,-7.909086494139444312e+01,3.792823728845559117e+01,7.050000000000000000e+02
1.900000000000000000e+01,6.000000000000000000e+00,-7.909077234880146534e+01,3.792786691808368005e+01,7.060000000000000000e+02
2.000000000000000000e+01,4.000000000000000000e+00,-7.909415197844595014e+01,3.792735765882207488e+01,7.520000000000000000e+02
2.100000000000000000e+01,6.000000000000000000e+00,-7.909040197842938369e+01,3.792731136252569968e+01,7.170000000000000000e+02
2.200000000000000000e+01,6.000000000000000000e+00,-7.909026572278207823e+01,3.792690259558395383e+01,7.190000000000000000e+02
2.400000000000000000e+01,5.000000000000000000e+00,-7.909600383030590365e+01,3.792643173289201286e+01,7.370000000000000000e+02
2.500000000000000000e+01,5.000000000000000000e+00,-7.909595753400941476e+01,3.792615395511313636e+01,7.480000000000000000e+02
2.600000000000000000e+01,8.000000000000000000e+00,-7.909708715783716571e+01,3.792584839374933381e+01,7.450000000000000000e+02
2.700000000000000000e+01,8.000000000000000000e+00,-7.909688345993947678e+01,3.792564469585170173e+01,7.540000000000000000e+02
