# ObjectID,StreamID,Long,Lat,Elevation
1.000000000000000000e+00,1.000000000000000000e+00,-7.832373530838947318e+01,3.881809840348205398e+01,2.620000000000000000e+02
2.000000000000000000e+00,1.000000000000000000e+00,-7.832331864172090263e+01,3.881805210718567878e+01,2.680000000000000000e+02
1.300000000000000000e+02,2.200000000000000000e+01,-7.834683716034294321e+01,3.879624655153406820e+01,2.630000000000000000e+02
1.320000000000000000e+02,2.400000000000000000e+01,-7.834151308624541343e+01,3.879536692190055192e+01,2.670000000000000000e+02
1.330000000000000000e+02,2.400000000000000000e+01,-7.834179086402446046e+01,3.879527432930763098e+01,2.720000000000000000e+02
1.350000000000000000e+02,2.400000000000000000e+01,-7.834216123439648527e+01,3.879490395893571986e+01,2.800000000000000000e+02
1.360000000000000000e+02,2.400000000000000000e+01,-7.834243901217547545e+01,3.879481136634257155e+01,2.840000000000000000e+02
1.370000000000000000e+02,2.300000000000000000e+01,-7.834956864183646985e+01,3.879444099597071727e+01,2.620000000000000000e+02
1.380000000000000000e+02,2.400000000000000000e+01,-7.834290197514042120e+01,3.879444099597071727e+01,2.940000000000000000e+02
1.390000000000000000e+02,2.300000000000000000e+01,-7.834919827146450189e+01,3.879425581078459118e+01,2.670000000000000000e+02
1.400000000000000000e+02,2.300000000000000000e+01,-7.834864271590646467e+01,3.879416321819161340e+01,2.720000000000000000e+02
1.410000000000000000e+02,2.300000000000000000e+01,-7.834822604923795097e+01,3.879356136633720098e+01,2.850000000000000000e+02
1.420000000000000000e+02,2.400000000000000000e+01,-7.834378160477399433e+01,3.879337618115107489e+01,3.180000000000000000e+02
1.440000000000000000e+02,2.500000000000000000e+01,-7.835100382702796651e+01,3.879194099595957823e+01,2.620000000000000000e+02
1.450000000000000000e+02,2.600000000000000000e+01,-7.835105086052612933e+01,3.879138544040159786e+01,2.630000000000000000e+02
1.460000000000000000e+02,2.600000000000000000e+01,-7.835095753073147762e+01,3.879138544040159786e+01,2.630000000000000000e+02
1.470000000000000000e+02,2.600000000000000000e+01,-7.835095753073147762e+01,3.879120025521564230e+01,2.650000000000000000e+02
1.480000000000000000e+02,2.600000000000000000e+01,-7.835077234554535153e+01,3.879092247743653843e+01,2.670000000000000000e+02
1.490000000000000000e+02,2.700000000000000000e+01,-7.834757790108699282e+01,3.879087618114016323e+01,3.200000000000000000e+02
1.500000000000000000e+02,2.600000000000000000e+01,-7.835030938258040578e+01,3.879055210706468415e+01,2.720000000000000000e+02
1.510000000000000000e+02,2.600000000000000000e+01,-7.835012419739445022e+01,3.879027432928558028e+01,2.750000000000000000e+02
1.520000000000000000e+02,2.600000000000000000e+01,-7.834984641961546004e+01,3.879018173669260250e+01,2.780000000000000000e+02
1.530000000000000000e+02,2.700000000000000000e+01,-7.834836493812747449e+01,3.879018173669260250e+01,3.040000000000000000e+02
1.540000000000000000e+02,2.700000000000000000e+01,-7.834947604924349207e+01,3.878999655150670378e+01,2.820000000000000000e+02
1.550000000000000000e+02,2.600000000000000000e+01,-7.834956864183646985e+01,3.878990395891355547e+01,2.800000000000000000e+02
1.560000000000000000e+02,2.700000000000000000e+01,-7.834956864183646985e+01,3.878990395891355547e+01,2.800000000000000000e+02
1.570000000000000000e+02,2.800000000000000000e+01,-7.834956864183646985e+01,3.878990395891355547e+01,2.800000000000000000e+02
1.580000000000000000e+02,2.800000000000000000e+01,-7.834919827146450189e+01,3.878962618113462213e+01,2.870000000000000000e+02
1.590000000000000000e+02,2.800000000000000000e+01,-7.834864271590646467e+01,3.878897803298366398e+01,3.000000000000000000e+02
1.600000000000000000e+02,2.800000000000000000e+01,-7.834873530849944245e+01,3.878851507001860455e+01,3.110000000000000000e+02
1.610000000000000000e+02,2.800000000000000000e+01,-7.834887419738890912e+01,3.878837618112908103e+01,3.120000000000000000e+02
1.620000000000000000e+02,2.900000000000000000e+01,-7.835081864184189726e+01,3.878467247740917401e+01,3.100000000000000000e+02
1.630000000000000000e+02,2.900000000000000000e+01,-7.835095753073147762e+01,3.878453358851965049e+01,3.060000000000000000e+02
1.640000000000000000e+02,2.900000000000000000e+01,-7.835095753073147762e+01,3.878434840333369493e+01,3.030000000000000000e+02
